concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
reindeer,mammal,living,0.822222,0.295455,0.333333333,0.345454545,6,11081,0.52619,0.14006,0.22386,90.1339,0.94708,1.4178,2.1292,953,0,41,0.17105,0.074682101,1.80776758
reindeer toy,holiday,nonliving,0.342857,NA,0.517241379,0.0625,6,8869,0.41886,0.14008,0.22379,90.1152,0.87798,1.5726,1.9201,953,0.958333333,33,0.18261,0.085940953,1.951375599
religious statue,decorative,nonliving,0.342857,NA,0.333333333,0.22,6,13147,0.45351,0.14002,0.2237,90.0665,0.93098,1.5045,2.114,7058,0.666666667,34,0.16795,0.099903184,1.698054386
revolver,military,nonliving,0.52,0.6,0.344827586,0.361111111,14,9306,0.3246,0.13991,0.22359,90.0129,1.0347,1.493,1.9005,1291,0.958333333,27,0.1928,0.093874355,1.361267633
rhinoceros,mammal,living,0.918367,0.888889,0.423076923,0.551724138,6,9398,0.44733,0.1398,0.22352,90.0026,1.0651,1.5078,1.9888,266,1,44,0.16662,0.087385262,2.969703334
rice,food,nonliving,0.8,0.522727,0.2,0.267857143,49,22169,0.8221,0.13981,0.22379,90.1301,1.2397,1.6936,2.0449,11944,0.75,41,0.20227,0.109534918,1.645953579
rifle,military,nonliving,0.481481,0.592593,0.428571429,0.5,9,5351,0.14088,0.1397,0.22356,90.0372,1.2344,1.9761,1.9204,10204,0.5,40,0.1683,0.085693655,1.382058009
ring,clothing,nonliving,0.54,0.571429,0.392857143,0.137931034,3,10416,0.59623,0.13969,0.22372,90.0497,0.91973,1.5137,1.7487,21873,1,40,0.15207,0.099900263,2.079497062
road,street items,nonliving,0.448276,0.5,NA,NA,3,8837,0.83116,0.13972,0.2235,90.1065,0.87448,1.639,1.7027,80987,0.75,36,0.16134,0.124127482,2.436749852
robin,birds,living,0.92,0.558824,0.464285714,0.714285714,6,8828,0.69323,0.13977,0.22341,90.1881,0.99469,1.3038,1.744,456,0.25,32,0.17315,0.051418563,1.221893046
rock-climbing shoe,clothing,nonliving,0.371429,0.4,0.228571429,0.08,5,9190,0.33998,0.13967,0.22319,90.0998,0.9336,1.5039,1.8352,543,0.125,45,0.13678,0.067002622,1.4532703
rocket,vehicle,nonliving,0.305556,0.517241,0.529411765,0.326530612,10,7587,0.24092,0.13961,0.223,90.036,1.1267,1.7578,1.7497,6722,0.75,47,0.15937,0.089666124,1.622838992
rocking chair,furniture,nonliving,0.613636,0.627907,0.37037037,0.345454545,12,10844,0.43064,0.13955,0.22307,90.0266,0.84824,1.5783,1.88,716,1,28,0.15784,0.056972763,1.345317327
rockinghorse,toys,nonliving,0.613636,0.772727,NA,NA,9,11221,0.4901,0.1396,0.22304,90.0142,0.85499,1.3881,1.7929,6,0.625,41,0.10539,0.067337034,1.879243681
rollerblade,sports,nonliving,0.457143,NA,0.5,0.551020408,4,12373,0.56631,0.13969,0.22294,90.0079,0.94747,1.2899,1.8812,66,1,40,0.16741,0.107703773,1.97392781
rollerskates,sports,nonliving,0.477273,0.636364,0.407407407,0.107142857,10,10059,0.33506,0.13962,0.22288,89.9665,0.9249,1.4635,1.9254,11,0.68,31,0.14623,0.0709108,1.726429718
rolling pin,kitchen items,nonliving,0.571429,NA,0.666666667,0.16,5,5461,0.23528,0.13947,0.22277,89.9143,1.2073,1.8959,1.815,388,0.708333333,31,0.13297,0.054491356,1.455329567
rope,tool,nonliving,0.642857,0.555556,0.4,0.302325581,13,14271,0.79728,0.13943,0.22276,90.027,1.1271,1.5743,2.0204,9300,1,46,0.18725,0.117325303,1.898844413
rowboat,vehicle,nonliving,0.388889,NA,0.535714286,0.489361702,27,7559,0.24743,0.13934,0.22257,89.975,1.0655,2.0328,2.1925,368,0.375,37,0.17786,0.078395733,1.627451536
